t,lf,lm,bl
929,0.06936315087870079,0.05500329445410872,0.055
930,0.06940093214483094,0.055004078804057166,0.055
931,0.0693886554472752,0.055017538153081594,0.055
932,0.06933495149456897,0.055018941230306075,0.055
933,0.0692541134103679,0.05500877809429312,0.055
934,0.0689860616707018,0.05500909480464234,0.055
935,0.06893374502577977,0.055009470919768995,0.055
936,0.0689595812224607,0.05501000449916389,0.055
937,0.0690942983731873,0.05500998751607753,0.055
938,0.06915956131232115,0.055010956765780446,0.055
939,0.0691454649674212,0.05501039835236198,0.055
940,0.08223820029877751,0.06801446675298375,0.068
941,0.082416386582431,0.1464459752943708,0.068
942,0.08243733802891945,0.1657949395979759,0.068
943,0.08244757179866949,0.18707466523978972,0.068
944,0.08244431953680693,0.1829812980396494,0.068
945,0.08243707795728414,0.18315276917017817,0.068
946,0.08244807318497135,0.21557120810134453,0.068
947,0.2644621894184704,0.2500052963263691,0.25
948,0.2644368165992203,0.250002892348826,0.25
949,0.2644432363055502,0.25000261172181404,0.25
950,0.26429803417109504,0.2500021953599896,0.25
951,0.26431233790420067,0.2500023394179593,0.25
952,0.2643126626158097,0.250002441725099,0.25
953,0.26442734750880437,0.25000275269056105,0.25
954,0.2642583915341826,0.25000279706773026,0.25
955,0.26344564032940543,0.25000021787163257,0.25
956,0.26322601905813686,0.2500000870339534,0.25
957,0.26300690694033985,0.2500001410573502,0.25
958,0.26356886973487226,0.2500000982083175,0.25
959,0.2630596726535486,0.25000037062704883,0.25
960,0.2638016167433566,0.25000065970639856,0.25
961,0.26390303188721165,0.25000201360704516,0.25
962,0.2642629305566339,0.25000019993848904,0.25
963,0.2642614234054063,0.2500002034080213,0.25
964,0.2639899920672243,0.25000004185116287,0.25
965,0.26397146527496107,0.25000004375811014,0.25
966,0.2640268434128293,0.2500000450068367,0.25
967,0.2641216250117823,0.250000053016589,0.25
968,0.2641141257571786,0.25000004766872,0.25
969,0.08177479692523461,0.06800005267661972,0.068
970,0.08173018921329699,0.06800006616776169,0.068
971,0.08176921555565095,0.06800007022959469,0.068
972,0.082152342906844,0.06800009518187225,0.068
973,0.0820705313558773,0.06800009686387073,0.068
974,0.08206623720538882,0.06800009847414731,0.068
